timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728046079135,453,Proceed to checkout-14,200,,Scenario1 1-12,text,true,,4224,690,1,31,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,452,0,302
1728046062953,453,Proceed to checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-12,,true,,4224,690,1,31,null,452,16182,302
1728046079356,639,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-3,,true,,4973,624,30,30,null,0,57,481
1728046079413,639,enter the store,200,,Scenario 2 2-3,text,true,,4973,624,30,30,https://petstore.octoperf.com/actions/Catalog.action,639,0,481
1728046060384,164,Click on any category``,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-2,,true,,3928,720,30,30,null,0,19508,0
1728046079891,164,Click on any category,200,,Scenario 2 2-2,text,true,,3928,720,30,30,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=CDA2489E6FC07E9300CF56800FDA9949?viewCategory=&categoryId=FISH,164,0,0
1728046079495,653,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-30,,true,,4973,624,30,30,null,0,44,492
1728046079539,653,enter the store,200,,Scenario 2 2-30,text,true,,4973,624,30,30,https://petstore.octoperf.com/actions/Catalog.action,653,0,492
1728046080192,0,Click on any category``,,,Scenario 2 2-30,,true,,0,0,30,30,null,0,0,0
1728046080055,718,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-2,,true,,4973,624,30,30,null,0,34,537
1728046080089,718,enter the store,200,,Scenario 2 2-2,text,true,,4973,624,30,30,https://petstore.octoperf.com/actions/Catalog.action,718,0,537
1728046061471,155,Click on any category``,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-29,,true,,4212,720,30,30,null,0,19480,0
1728046080950,155,Click on any category,200,,Scenario 2 2-29,text,true,,4212,720,30,30,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=CDA2489E6FC07E9300CF56800FDA9949?viewCategory=&categoryId=DOGS,154,0,0
1728046062016,186,Click on any category``,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-1,,true,,3668,724,30,30,null,0,19480,0
1728046081494,186,Click on any category,200,,Scenario 2 2-1,text,true,,3668,724,30,30,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=CDA2489E6FC07E9300CF56800FDA9949?viewCategory=&categoryId=REPTILES,186,0,0
1728046081105,721,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-29,,true,,4973,624,30,30,null,0,89,541
1728046081194,721,enter the store,200,,Scenario 2 2-29,text,true,,4973,624,30,30,https://petstore.octoperf.com/actions/Catalog.action,720,0,541
1728046081915,0,Click on any category``,,,Scenario 2 2-29,,true,,0,0,30,30,null,0,0,0
1728046062705,157,Click on any category``,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-26,,true,,4212,720,29,29,null,0,19539,0
1728046082242,157,Click on any category,200,,Scenario 2 2-26,text,true,,4212,720,29,29,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=CDA2489E6FC07E9300CF56800FDA9949?viewCategory=&categoryId=DOGS,157,0,0
1728046081681,706,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-1,,true,,4973,624,29,29,null,0,37,544
1728046081718,706,enter the store,200,,Scenario 2 2-1,text,true,,4973,624,29,29,https://petstore.octoperf.com/actions/Catalog.action,705,0,544
1728046062735,168,Click on any category``,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-28,,true,,3668,724,29,29,null,0,19535,0
1728046082268,168,Click on any category,200,,Scenario 2 2-28,text,true,,3668,724,29,29,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=CDA2489E6FC07E9300CF56800FDA9949?viewCategory=&categoryId=REPTILES,168,0,0
1728046062840,161,Click on any category``,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-27,,true,,3662,720,29,29,null,0,19521,0
1728046082359,161,Click on any category,200,,Scenario 2 2-27,text,true,,3662,720,29,29,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=CDA2489E6FC07E9300CF56800FDA9949?viewCategory=&categoryId=CATS,161,0,0
1728046082437,634,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-28,,true,,4973,624,29,29,null,0,46,476
1728046082483,634,enter the store,200,,Scenario 2 2-28,text,true,,4973,624,29,29,https://petstore.octoperf.com/actions/Catalog.action,633,0,476
1728046083117,0,Click on any category``,,,Scenario 2 2-28,,true,,0,0,29,29,null,0,0,0
1728046082400,692,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-26,,true,,4973,624,28,28,null,0,81,517
1728046063527,159,Click on any category``,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-25,,true,,4212,720,28,28,null,0,19488,0
